Idx,
2044,15.456
2045,15.293
2046,14.312
2047,16.617
2048,20.906
2049,23.878
2050,24.255
2051,25.283
2052,25.541
2053,26.043
2054,25.9
2055,25.851
2056,25.783
2057,27.708
2058,28.669
2059,28.338
2060,26.906
2061,26.791
2062,26.153
2063,24.172
2064,20.525
2065,16.66
2066,15.147
2067,15.715
2068,14.692
2069,14.528
2070,11.937
2071,12.549
2072,17.987
2073,21.199
2074,23.422
2075,23.568
2076,24.516
2077,22.488
2078,22.649
2079,23.027
2080,24.566
2081,20.892
2082,21.092
2083,23.926
2084,23.516
2085,20.782
2086,19.735
2087,21.623
2088,20.331
2089,17.397
2090,15.461
2091,14.297
2092,13.021
2093,12.511
2094,11.828
2095,13.204
2096,14.39
2097,16.512
2098,19.241
2099,20.416
2100,17.395
2101,18.604
2102,15.697
2103,14.054
2104,13.477
2105,15.488
2106,17.287
2107,15.934
2108,17.18
2109,17.852
2110,16.573
2111,15.823
2112,16.281
2113,12.779
2114,9.662
2115,10.385
2116,7.682
2117,7.945
2118,3.987
2119,2.823
2120,3.694
2121,5.366
2122,13.733
2123,17.78
2124,17.736
2125,14.471
2126,13.175
2127,8.982
2128,11.357
2129,10.961
2130,14.157
2131,17.789
2132,18.496
2133,18.169
2134,18.707
2135,18.943
2136,18.149
2137,16.081
2138,12.45
2139,13.105
2140,12.191
